Office ID,MANUFACTURER,MANFACTURINGYEAR,Name,Lat,Lon,Substation_No,Serial_No,Voltage,Capacity,FUNCTIONAL_LOC
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166300,29.86536218,40.31101887,166300,<Null>,<Null>,<Null>,4300-JSS-166300
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182643,30.15193048,40.40294405,182643,<Null>,<Null>,<Null>,4300-JSS-182643
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,182353,30.1322214,40.37469,182353,<Null>,<Null>,<Null>,4300-JSS-182353
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,101177,29.96816474,40.19992587,101177,<Null>,<Null>,<Null>,4300-JSS-101177
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,131311,29.9369672,40.19910217,131311,<Null>,<Null>,<Null>,4300-JSS-131311
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,117130,29.99835282,40.28024988,117130,<Null>,<Null>,<Null>,4300-JSS-117130
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,103187,29.96922326,40.20832501,103187,<Null>,<Null>,<Null>,4300-JSS-103187
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,111767,30.03611817,40.05197618,111767,<Null>,<Null>,<Null>,4300-JSS-111767
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,166301,29.81421511,40.24849265,166301,<Null>,<Null>,<Null>,4300-JSS-166301
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,164128,29.87111525,40.22084585,164128,<Null>,<Null>,<Null>,4300-JSS-164128
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,101107,29.97152728,40.18929265,101107,<Null>,<Null>,<Null>,4300-JSS-101107
Sakaka Office مكتب خدمات سكاكا,<Null>,<Null>,101164,29.97163363,40.189823,101164,<Null>,<Null>,<Null>,4300-JSS-101164
